S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.1,13.2,-92,LD,693.6,1140.9,-39,D
2,ASSAM,1.9,11.7,-84,LD,756.4,1025.5,-26,D
3,MEGHALAYA,5.7,22.5,-75,LD,795.3,1907.2,-58,D
4,NAGALAND,3,10.6,-71,LD,724.5,697.5,4,N
5,MANIPUR,0,5.6,-99,LD,435.8,716.4,-39,D
6,MIZORAM,14.7,14.7,0,N,824.3,1050.7,-22,D
7,TRIPURA,1.2,13.5,-91,LD,830.1,970.5,-14,N
8,SIKKIM,2,13.6,-85,LD,1133.2,1117.9,1,N
9,WEST BENGAL,7.3,12.9,-43,D,906.9,879.5,3,N
10,JHARKHAND,10.1,8.7,16,N,525.4,658.9,-20,D
11,BIHAR,2.1,9.6,-78,LD,383.2,637.7,-40,D
1,UTTAR PRADESH,7.1,10,-29,D,366.8,480.1,-24,D
2,UTTARAKHAND,29.9,12.5,139,LE,772.1,798.5,-3,N
3,HARYANA,7.8,5.6,40,E,248.6,281.5,-12,N
4,CHANDIGARH (UT),4,9.6,-58,D,441.3,594.6,-26,D
5,DELHI (UT),2.7,7.7,-65,LD,413.6,354.1,17,N
6,PUNJAB,4.9,3.9,25,E,191.7,302.5,-37,D
7,HIMACHAL PRADESH,12.8,7.7,66,LE,461.7,504.9,-9,N
8,JAMMU & KASHMIR (UT),3.1,6,-49,D,400.8,372.7,8,N
9,LADAKH (UT),0.2,0.1,100,LE,45,15.3,194,LE
10,RAJASTHAN,2.3,5.7,-59,D,261.9,300,-13,N
1,ODISHA,14,12.3,14,N,934,737.1,27,E
2,MADHYA PRADESH,14.9,11.1,34,E,547.2,618.8,-12,N
3,GUJARAT,3.2,5.2,-38,D,507.6,499.7,2,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),25.8,22.1,17,N,2633.5,1627.1,62,LE
5,GOA,12.8,23.1,-45,D,1577.5,2407,-34,D
6,MAHARASHTRA,4.9,7.4,-33,D,662.8,685.2,-3,N
7,CHHATTISGARH,14.4,10.8,34,E,694.9,747.5,-7,N
1,ANDAMAN & NICOBAR ISLANDS (UT),10.4,10.9,-5,N,1039.1,994.6,4,N
2,ANDHRA PRADESH,2,5.2,-62,LD,188,294.1,-36,D
3,TELANGANA,1.7,6.7,-75,LD,409.3,467.1,-12,N
4,TAMILNADU,3.1,3.3,-5,N,143.3,156.2,-8,N
5,PUDUCHERRY (UT),2.6,2.7,-3,N,159,215.3,-26,D
6,KARNATAKA,4.5,6.6,-31,D,456.3,573.4,-20,D
7,KERALA,14.8,14.4,3,N,1217.5,1556.3,-22,D
8,LAKSHADWEEP (UT),2.6,6.2,-58,D,547.3,728.7,-25,D
