S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,6.3,10.8,-42,D,680.5,1081,-37,D
2,ASSAM,5.3,11.4,-53,D,738.5,963,-23,D
3,MEGHALAYA,7.6,18,-58,D,777.4,1785.5,-56,D
4,NAGALAND,10,8.5,18,N,699.4,651.2,7,N
5,MANIPUR,7.9,12.3,-36,D,434.2,678.1,-36,D
6,MIZORAM,15.7,11.9,32,E,783.6,979.2,-20,D
7,TRIPURA,5.2,7.3,-29,D,767.5,907.8,-15,N
8,SIKKIM,25,14.1,77,LE,1114.5,1051.7,6,N
9,WEST BENGAL,4.3,10,-57,D,842.7,811.9,4,N
10,JHARKHAND,4.9,8,-38,D,455.3,607.4,-25,D
11,BIHAR,2.2,7.8,-72,LD,370.6,581.2,-36,D
1,UTTAR PRADESH,3.4,7.4,-54,D,342.3,430.9,-21,D
2,UTTARAKHAND,15.7,13.1,20,E,707.1,730.1,-3,N
3,HARYANA,1.8,4.1,-55,D,232.3,257.2,-10,N
4,CHANDIGARH (UT),0,13.1,-100,NR,406.6,533.8,-24,D
5,DELHI (UT),0,5.9,-100,NR,393.4,315.4,25,E
6,PUNJAB,2.5,5.5,-55,D,181.2,279.1,-35,D
7,HIMACHAL PRADESH,6.1,9.8,-38,D,418,455.5,-8,N
8,JAMMU & KASHMIR (UT),0.1,6.1,-99,LD,369.2,342.6,8,N
9,LADAKH (UT),0,0.6,-100,NR,39.2,14.8,165,LE
10,RAJASTHAN,3.9,5.9,-33,D,223.6,272.9,-18,N
1,ODISHA,7.7,10.2,-24,D,862.3,677,27,E
2,MADHYA PRADESH,30.4,11.4,167,LE,484.4,571.4,-15,N
3,GUJARAT,0.5,11.1,-95,LD,485.2,461.6,5,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),1.2,23.6,-95,LD,2516.5,1510.5,67,LE
5,GOA,6.1,28.3,-78,LD,1461.1,2269.6,-36,D
6,MAHARASHTRA,1.9,9.2,-79,LD,643.2,641.9,0,N
7,CHHATTISGARH,5.8,11,-47,D,655.9,687.8,-5,N
1,ANDAMAN & NICOBAR ISLANDS (UT),15.9,12.3,29,E,1005.8,931.8,8,N
2,ANDHRA PRADESH,1.2,5.4,-78,LD,178.4,270.7,-34,D
3,TELANGANA,1.3,10.4,-88,LD,400,428.7,-7,N
4,TAMILNADU,2.5,2.4,3,N,126.2,142.8,-12,N
5,PUDUCHERRY (UT),11.9,3.1,282,LE,142.4,196,-27,D
6,KARNATAKA,2.7,8,-66,LD,433.5,535.5,-19,N
7,KERALA,7.4,18.3,-59,D,1168.5,1480.8,-21,D
8,LAKSHADWEEP (UT),4.5,8,-44,D,525.1,695.2,-24,D
