S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,5.8,13,-55%,D,925,1601.4,-42%,D
2,ASSAM,13.5,10.7,26%,E,1052.3,1423.4,-26%,D
3,MEGHALAYA,16.5,22,-25%,D,1058.7,2596.5,-59%,D
4,NAGALAND,4.1,6.9,-40%,D,1078,996.3,8%,N
5,MANIPUR,2.6,8.7,-70%,LD,562.8,996.3,-44%,D
6,MIZORAM,9.7,12.1,-20%,D,1267.4,1554,-18%,N
7,TRIPURA,20.9,11.1,88%,LE,1148.2,1341.3,-14%,N
8,SIKKIM,8.9,12.2,-27%,D,1705.3,1603.9,6%,N
9,WEST BENGAL,15.8,11.4,39%,E,1263.5,1275.5,-1%,N
10,JHARKHAND,8.2,7.3,12%,N,885,977.3,-9%,N
11,BIHAR,1.8,4.8,-62%,LD,590,943.4,-37%,D
1,UTTAR PRADESH,0.7,3.1,-77%,LD,682.3,726.1,-6%,N
2,UTTARAKHAND,0.1,4.8,-99%,LD,1159,1141.8,2%,N
3,HARYANA,0,3.3,-100%,NR,317.5,418.6,-24%,D
4,CHANDIGARH (UT),0,8,-100%,NR,715.4,831.7,-14%,N
5,DELHI (UT),0,4.1,-100%,NR,562.7,536.4,5%,N
6,PUNJAB,0,4,-100%,NR,254.2,424.9,-40%,D
7,HIMACHAL PRADESH,0,6.2,-100%,NR,636.4,717.6,-11%,N
8,JAMMU & KASHMIR (UT),0.2,5.1,-96%,LD,526,532.1,-1%,N
9,LADAKH (UT),0,1.2,-100%,NR,49.4,21.5,130%,LE
10,RAJASTHAN,0,1.7,-100%,NR,335.5,428.3,-22%,D
1,ODISHA,39,7.4,427%,LE,1343.5,1114.6,21%,E
2,MADHYA PRADESH,1.2,4.2,-72%,LD,869.5,931.7,-7%,N
3,GUJARAT,2.3,3.5,-34%,D,638.4,689.2,-7%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),13.7,12.4,10%,N,2991.5,2139,40%,E
5,GOA,36,7.1,407%,LE,1931.5,2944.1,-34%,D
6,MAHARASHTRA,3.8,5.9,-36%,D,791,959.1,-18%,N
7,CHHATTISGARH,11.6,4.3,169%,LE,1046.3,1102.5,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),47.8,9.6,398%,LE,1693.4,1531.9,11%,N
2,ANDHRA PRADESH,21.6,5.1,324%,LE,320.7,485.1,-34%,D
3,TELANGANA,6.5,5.7,14%,N,558.6,702.6,-20%,D
4,TAMILNADU,0.2,3.6,-93%,LD,255.2,295.7,-14%,N
5,PUDUCHERRY (UT),2.8,3,-8%,N,238.5,383,-38%,D
6,KARNATAKA,6.1,5.1,20%,E,555,790.2,-30%,D
7,KERALA,2.9,7.3,-60%,LD,1425.9,1957.6,-27%,D
8,LAKSHADWEEP (UT),0.7,5.8,-89%,LD,718,994.5,-28%,D
