S.No,STATE,DISTRICT,DISTRICT_DISPLAY,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,STATE_N,Lat,Lon,match_score,match_type
1,ANDHRA PRADESH,ANANTAPURAMU,ANANTAPURAMU,0.5,3.2,-83,LD,114.3,122.2,-6,N,ANDHRA PRADESH,,,,NO_MATCH
2,ANDHRA PRADESH,ANNAMAYYA DISTRICT,ANNAMAYYA DISTRICT,0,3.7,-100,NR,53.8,146.2,-63,LD,ANDHRA PRADESH,,,,NO_MATCH
3,ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,3.9,-100,NR,89,175.9,-49,D,ANDHRA PRADESH,,,,NO_MATCH
4,ANDHRA PRADESH,KURNOOL,KURNOOL,0,4,-100,NR,139.4,172.2,-19,N,ANDHRA PRADESH,,,,NO_MATCH
5,ANDHRA PRADESH,NANDYAL,NANDYAL,0.5,4.5,-89,LD,149.3,203.3,-27,D,ANDHRA PRADESH,,,,NO_MATCH
6,ANDHRA PRADESH,SRI SATHYASAI DISTRICT,SRI SATHYASAI DISTRICT,0,3.8,-100,NR,84.7,117.5,-28,D,ANDHRA PRADESH,,,,NO_MATCH
7,ANDHRA PRADESH,TIRUPATI,TIRUPATI,0,4.7,-100,NR,113.1,177,-36,D,ANDHRA PRADESH,,,,NO_MATCH
8,ANDHRA PRADESH,YSR DISTRICT,YSR DISTRICT,0.2,4.9,-97,LD,81.1,152.4,-47,D,ANDHRA PRADESH,,,,NO_MATCH
