S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.7,11.1,-94%,LD,919.2,1588.4,-42%,D
2,ASSAM,0.3,9.2,-97%,LD,1038.9,1412.7,-26%,D
3,MEGHALAYA,2.6,22,-88%,LD,1042.2,2574.5,-60%,LD
4,NAGALAND,4.3,6.7,-36%,D,1073.9,989.4,9%,N
5,MANIPUR,1.9,6.2,-69%,LD,560.2,987.6,-43%,D
6,MIZORAM,3.6,12.1,-70%,LD,1257.7,1541.9,-18%,N
7,TRIPURA,11.8,12.4,-5%,N,1127.4,1330.2,-15%,N
8,SIKKIM,2.4,9.7,-75%,LD,1696.4,1591.7,7%,N
9,WEST BENGAL,3,10.9,-73%,LD,1247.7,1264.1,-1%,N
10,JHARKHAND,1.6,7.6,-79%,LD,876.9,970,-10%,N
11,BIHAR,0.7,6.7,-89%,LD,588.2,938.6,-37%,D
1,UTTAR PRADESH,0.5,3.7,-85%,LD,681.6,723,-6%,N
2,UTTARAKHAND,0.4,4.3,-91%,LD,1158.9,1137,2%,N
3,HARYANA,0,2.3,-100%,NR,317.5,415.3,-24%,D
4,CHANDIGARH (UT),0,2,-100%,NR,715.4,823.7,-13%,N
5,DELHI (UT),0,4.1,-100%,NR,562.7,532.3,6%,N
6,PUNJAB,0,1.7,-100%,NR,254.2,420.9,-40%,D
7,HIMACHAL PRADESH,0,3.4,-100%,NR,636.4,711.4,-11%,N
8,JAMMU & KASHMIR (UT),0,1.9,-100%,NR,525.8,527,0%,N
9,LADAKH (UT),0,0,-100%,NR,49.4,20.3,143%,LE
10,RAJASTHAN,0,1.2,-96%,LD,335.5,426.6,-21%,D
1,ODISHA,11,7.3,51%,E,1304.5,1107.2,18%,N
2,MADHYA PRADESH,3.5,4.9,-28%,D,868.4,927.5,-6%,N
3,GUJARAT,1,2.8,-65%,LD,636.1,685.7,-7%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),22.1,14,58%,E,2977.8,2126.6,40%,E
5,GOA,0,14.3,-100%,NR,1895.5,2937,-35%,D
6,MAHARASHTRA,5,7.2,-31%,D,787.2,953.2,-17%,N
7,CHHATTISGARH,1.9,5.3,-64%,LD,1034.8,1098.2,-6%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),20.6,13.3,55%,E,1645.6,1522.3,8%,N
2,ANDHRA PRADESH,10.9,5.4,102%,LE,299,480,-38%,D
3,TELANGANA,1.9,5.8,-68%,LD,550.9,696.9,-21%,D
4,TAMILNADU,7,3.5,101%,LE,255,292.1,-13%,N
5,PUDUCHERRY (UT),7.5,3.9,92%,LE,235.8,380,-38%,D
6,KARNATAKA,6.9,5.4,27%,E,548.9,785.1,-30%,D
7,KERALA,5.1,7.2,-29%,D,1423,1950.3,-27%,D
8,LAKSHADWEEP (UT),4.6,5,-9%,N,717.4,988.7,-27%,D
