S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,17.9,10.5,70,LE,600.1,994.4,-40,D
2,ASSAM,15.8,10.3,53,E,640.9,871,-26,D
3,MEGHALAYA,13.6,20,-32,D,695.1,1646.2,-58,D
4,NAGALAND,18.4,9,104,LE,569.2,575.3,-1,N
5,MANIPUR,2.5,7.9,-69,LD,353.2,592.6,-40,D
6,MIZORAM,17.4,13.1,33,E,662.5,858.4,-23,D
7,TRIPURA,3.7,10.3,-64,LD,707.3,816,-13,N
8,SIKKIM,12.6,17.4,-28,D,937.6,930.2,1,N
9,WEST BENGAL,6.6,11.5,-43,D,723,714.1,1,N
10,JHARKHAND,1.9,8.8,-79,LD,361.9,517,-30,D
11,BIHAR,2.6,9.1,-71,LD,293.3,512.9,-43,D
1,UTTAR PRADESH,1.5,8.3,-82,LD,264.2,365.9,-28,D
2,UTTARAKHAND,7.5,15.4,-51,D,573.6,610,-6,N
3,HARYANA,0,5,-99,LD,148,208.8,-29,D
4,CHANDIGARH (UT),0,5.3,-99,LD,347.1,434,-20,D
5,DELHI (UT),0.1,7.2,-99,LD,236.1,258.8,-9,N
6,PUNJAB,1.8,8,-78,LD,143.7,223.9,-36,D
7,HIMACHAL PRADESH,7.1,9.3,-23,D,348.6,366.3,-5,N
8,JAMMU & KASHMIR (UT),8,7.9,1,N,325.6,276.4,18,N
9,LADAKH (UT),0,0.8,-100,NR,32.6,12.7,157,LE
10,RAJASTHAN,2.8,5,-43,D,181.8,221.4,-18,N
1,ODISHA,2.2,9.9,-78,LD,737.8,560.6,32,E
2,MADHYA PRADESH,9.6,12.1,-21,D,399.4,460.5,-13,N
3,GUJARAT,58.5,10.1,480,LE,442.6,380.9,16,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),47.6,26.5,79,LE,2423.4,1292.9,87,LE
5,GOA,20.6,31.7,-35,D,1242.2,1992.7,-38,D
6,MAHARASHTRA,20,10.5,90,LE,594.5,544.5,9,N
7,CHHATTISGARH,3.6,11.3,-68,LD,563.2,568.3,-1,N
1,ANDAMAN & NICOBAR ISLANDS (UT),12.2,13.6,-11,N,836.8,818.2,2,N
2,ANDHRA PRADESH,3.9,4.2,-6,N,149.9,229.4,-35,D
3,TELANGANA,3.6,6.6,-45,D,340,356.5,-5,N
4,TAMILNADU,5.7,2.9,98,LE,102.1,122.6,-17,N
5,PUDUCHERRY (UT),1.1,3.3,-68,LD,72,163.4,-56,D
6,KARNATAKA,14.2,8.5,67,LE,357.7,461.6,-23,D
7,KERALA,74.1,21.5,244,LE,932.8,1323.2,-30,D
8,LAKSHADWEEP (UT),41.4,8.3,399,LE,430.4,633.2,-32,D
