S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,6.9,15.5,-56%,D,746.8,1228.5,-39%,D
2,ASSAM,6.5,11.2,-42%,D,840.6,1099.8,-24%,D
3,MEGHALAYA,8.2,21,-61%,LD,857,2036.8,-58%,D
4,NAGALAND,4.8,7.4,-35%,D,788.2,760.1,4%,N
5,MANIPUR,0.4,7.3,-95%,LD,452.3,770.7,-41%,D
6,MIZORAM,20.4,11.6,76%,LE,896.6,1147,-22%,D
7,TRIPURA,22.8,9.4,143%,LE,885.1,1045.4,-15%,N
8,SIKKIM,10.2,13.7,-25%,D,1199.5,1208.8,-1%,N
9,WEST BENGAL,1.2,13.2,-91%,LD,994.4,959.3,4%,N
10,JHARKHAND,0.4,9.3,-96%,LD,616.7,730.5,-16%,N
11,BIHAR,0.5,10.6,-95%,LD,409.9,701.5,-42%,D
1,UTTAR PRADESH,9.2,7.3,26%,E,453.7,533,-15%,N
2,UTTARAKHAND,6.1,11.5,-47%,D,882.8,893.2,-1%,N
3,HARYANA,3.3,4.2,-22%,D,265,312.1,-15%,N
4,CHANDIGARH (UT),0,9.7,-100%,NR,549,647.6,-15%,N
5,DELHI (UT),6.1,5.8,5%,N,428.8,394.2,9%,N
6,PUNJAB,2.6,4.1,-37%,D,224.6,329.7,-32%,D
7,HIMACHAL PRADESH,7.8,7.7,1%,N,516.2,558.1,-8%,N
8,JAMMU & KASHMIR (UT),1.7,5,-66%,LD,426.4,409,4%,N
9,LADAKH (UT),0,0,-100%,NR,49.2,15.9,210%,LE
10,RAJASTHAN,0.1,4.5,-97%,LD,265.8,336.5,-21%,D
1,ODISHA,6.8,11,-39%,D,1016.6,822.9,24%,E
2,MADHYA PRADESH,9.8,10.6,-8%,N,624.8,695.9,-10%,N
3,GUJARAT,0.6,3.9,-85%,LD,514.2,534.4,-4%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),13.3,10.8,24%,E,2689.5,1696.9,58%,E
5,GOA,17.7,12.1,47%,E,1684.3,2532.2,-33%,D
6,MAHARASHTRA,2.8,7.9,-64%,LD,684.2,741.1,-8%,N
7,CHHATTISGARH,3.3,13.4,-76%,LD,775.9,832.6,-7%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),46.8,11.6,303%,LE,1163.7,1074.6,8%,N
2,ANDHRA PRADESH,0.9,5.8,-84%,LD,195.2,326.7,-40%,D
3,TELANGANA,0.5,6.8,-93%,LD,425.6,516.5,-18%,N
4,TAMILNADU,0.9,3.8,-76%,LD,152.6,182.2,-16%,N
5,PUDUCHERRY (UT),0.2,6.6,-98%,LD,175.1,249.9,-30%,D
6,KARNATAKA,2.3,6.6,-65%,LD,477.7,619,-23%,D
7,KERALA,4.1,12.4,-67%,LD,1249,1648.2,-24%,D
8,LAKSHADWEEP (UT),0.6,9.3,-94%,LD,586,785.3,-25%,D
