S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,6.2,13,-53,D,582.4,983.9,-41,D
2,ASSAM,11.9,10.3,15,N,621,860.7,-28,D
3,MEGHALAYA,3.4,20.1,-83,LD,681.5,1626.2,-58,D
4,NAGALAND,48,9.6,400,LE,550.8,566.3,-3,N
5,MANIPUR,14.1,7.5,88,LE,350.7,584.7,-40,D
6,MIZORAM,6.5,10.4,-38,D,645,845.3,-24,D
7,TRIPURA,8.1,12.9,-37,D,703.6,805.7,-13,N
8,SIKKIM,23.2,12.9,80,LE,926.3,912.8,1,N
9,WEST BENGAL,12.9,11.1,16,N,716.4,702.6,2,N
10,JHARKHAND,3.9,8.9,-56,D,360.1,508.2,-29,D
11,BIHAR,3.7,9.4,-60,LD,290.6,503.8,-42,D
1,UTTAR PRADESH,1.6,6.7,-76,LD,262.7,357.6,-27,D
2,UTTARAKHAND,13.7,14.8,-8,N,566.1,594.6,-5,N
3,HARYANA,3,5.2,-43,D,148,203.8,-27,D
4,CHANDIGARH (UT),1.9,13.3,-86,LD,347.1,428.7,-19,N
5,DELHI (UT),1.6,6.3,-74,LD,236,251.6,-6,N
6,PUNJAB,2.1,6,-65,LD,141.9,215.9,-34,D
7,HIMACHAL PRADESH,13.7,8.4,64,LE,341.5,357,-4,N
8,JAMMU & KASHMIR (UT),8.5,9.6,-11,N,317.6,268.5,18,N
9,LADAKH (UT),0.2,0.3,-49,D,32.6,11.9,174,LE
10,RAJASTHAN,2.4,4.7,-49,D,179,216.4,-17,N
1,ODISHA,4,11.6,-65,LD,735.5,550.7,34,E
2,MADHYA PRADESH,17,10.1,68,LE,389.9,448.4,-13,N
3,GUJARAT,8.1,8.6,-6,N,384,370.8,4,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),10,42,-76,LD,2375.9,1266.4,88,LE
5,GOA,13.5,31.7,-57,D,1255.4,1961,-36,D
6,MAHARASHTRA,49.4,10.4,375,LE,565.4,534,6,N
7,CHHATTISGARH,12,10.9,10,N,559.6,557,0,N
1,ANDAMAN & NICOBAR ISLANDS (UT),9.7,12.6,-23,D,824.6,804.6,2,N
2,ANDHRA PRADESH,2.9,4.3,-34,D,145.9,225.2,-35,D
3,TELANGANA,21,6.2,239,LE,335.6,349.9,-4,N
4,TAMILNADU,1.1,2,-43,D,96.4,119.7,-19,N
5,PUDUCHERRY (UT),1.9,2.9,-36,D,70.9,160.1,-56,D
6,KARNATAKA,7.6,7.6,0,N,343.5,453.1,-24,D
7,KERALA,24.9,18.2,37,E,858.7,1301.7,-34,D
8,LAKSHADWEEP (UT),1.2,6.1,-80,LD,388.9,624.9,-38,D
