S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,9.7,14.4,-33%,D,876.3,1523.2,-42%,D
2,ASSAM,3.4,10.7,-68%,LD,1007.4,1358.2,-26%,D
3,MEGHALAYA,2.8,13.6,-79%,LD,1015.4,2482,-59%,D
4,NAGALAND,6.7,6,12%,N,1045.2,950.2,10%,N
5,MANIPUR,2.2,8.9,-75%,LD,546.2,955.6,-43%,D
6,MIZORAM,9.6,12.3,-22%,D,1233.9,1465.9,-16%,N
7,TRIPURA,4.6,7.9,-42%,D,1093.9,1276.7,-14%,N
8,SIKKIM,99.2,12.4,700%,LE,1565.5,1532.4,2%,N
9,WEST BENGAL,2.9,8.7,-66%,LD,1208.7,1206.8,0%,N
10,JHARKHAND,5,7.1,-30%,D,860.2,927.9,-7%,N
11,BIHAR,4,7.4,-46%,D,575.7,899.4,-36%,D
1,UTTAR PRADESH,1.8,6.1,-71%,LD,671.2,698.1,-4%,N
2,UTTARAKHAND,4.8,5.6,-14%,N,1155,1108.8,4%,N
3,HARYANA,0,2.2,-99%,LD,311.4,405.7,-23%,D
4,CHANDIGARH (UT),0,1.3,-99%,LD,715.4,818.4,-13%,N
5,DELHI (UT),0.1,2.9,-97%,LD,562.7,519.2,8%,N
6,PUNJAB,0.1,2.1,-95%,LD,248.7,413.3,-40%,D
7,HIMACHAL PRADESH,1.8,2.5,-29%,D,623.8,692.1,-10%,N
8,JAMMU & KASHMIR (UT),0.1,3,-98%,LD,505.6,515.7,-2%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.4,19.4,155%,LE
10,RAJASTHAN,0.5,2.1,-76%,LD,316.1,419.8,-25%,D
1,ODISHA,1.6,7.6,-80%,LD,1269,1059.4,20%,E
2,MADHYA PRADESH,2.2,6.1,-63%,LD,839.3,900.5,-7%,N
3,GUJARAT,6.2,2.8,123%,LE,605.5,666.7,-9%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),7.2,7.1,2%,N,2927.9,2054.9,42%,E
5,GOA,2.3,10.8,-78%,LD,1876,2872.8,-35%,D
6,MAHARASHTRA,0.7,5.3,-88%,LD,767.4,916.6,-16%,N
7,CHHATTISGARH,0.5,6.1,-92%,LD,1014.5,1058.7,-4%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),23.1,14.2,63%,LE,1512.2,1424.6,6%,N
2,ANDHRA PRADESH,4.2,4.7,-10%,N,255.3,442.3,-42%,D
3,TELANGANA,0.7,4.9,-85%,LD,526.6,658.2,-20%,D
4,TAMILNADU,4.4,4.9,-10%,N,207.8,269.2,-23%,D
5,PUDUCHERRY (UT),0,7.1,-100%,NR,210.9,353.8,-40%,D
6,KARNATAKA,2.5,5.5,-55%,D,529.5,751.3,-30%,D
7,KERALA,0.8,10.2,-92%,LD,1383.1,1898.4,-27%,D
8,LAKSHADWEEP (UT),11.1,5.4,106%,LE,666,956.1,-30%,D
