State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date,Match_Type,Match_Score
MADHYA PRADESH,ASHOKNAGAR,24.609,77.875,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BALAGHAT,21.881,80.359,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BARWANI,21.788,75.021,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BETUL,21.879,77.871,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BHIND,26.422,78.721,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BURHANPUR,21.37,76.369,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,CHHATARPUR,24.798,79.666,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,CHHINDWARA,22.122,78.854,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DAMOH,23.812,79.527,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DATIA,25.801,78.597,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DEWAS,22.744,76.457,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DHAR,22.498,75.104,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,DINDORI,22.89,81.051,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,GUNA,24.556,77.199,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,GWALIOR,26.04,78.146,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,HARDA,22.233,77.123,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,INDORE,22.713,75.782,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,JABALPUR,23.234,79.976,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,JHABUA,22.892,74.672,,,,,,,,,,,,UNMATCHED,
UTTAR PRADESH,BALRAMPUR,27.484,82.375,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,KHANDWA,21.935,76.568,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,KHARGONE,21.919,75.771,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MAIHAR,24.265,80.76,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,MANDLA,22.639,80.512,,,,,,,,,,,,UNMATCHED,
