State,District,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date
ASSAM,WEST KARBI ANGLONG,3.8,5.9,-36.0,D,207.8,323.3,-36.0,D,3,35,2026-07-22
MEGHALAYA,EAST GARO HILLS,0.2,12.7,-99.0,LD,436.5,965.1,-55.0,D,3,1,2026-07-22
MEGHALAYA,EAST JAINTIA HILLS,14.0,56.7,-75.0,LD,865.7,2374.8,-64.0,LD,3,2,2026-07-22
MEGHALAYA,EAST KHASI HILLS,24.5,37.2,-34.0,D,1328.1,2390.3,-44.0,D,3,3,2026-07-22
MEGHALAYA,NORTH GARO HILLS,1.5,11.4,-87.0,LD,353.6,920.1,-62.0,LD,3,4,2026-07-22
MEGHALAYA,RI BHOI,1.2,12.9,-90.0,LD,407.2,695.0,-41.0,D,3,5,2026-07-22
MEGHALAYA,SOUTH GARO HILLS,8.9,11.4,-22.0,D,502.6,920.1,-45.0,D,3,6,2026-07-22
MEGHALAYA,SOUTH WEST GARO HILLS,5.1,11.4,-56.0,D,483.2,920.1,-47.0,D,3,7,2026-07-22
MEGHALAYA,SOUTH WEST KHASI HILLS,27.8,11.4,143.0,LE,1810.4,920.1,97.0,LE,3,8,2026-07-22
MEGHALAYA,WEST GARO HILLS,1.8,17.0,-89.0,LD,331.0,911.5,-64.0,LD,3,9,2026-07-22
MEGHALAYA,WEST JAINTIA HILLS,8.1,56.7,-86.0,LD,582.4,2374.8,-75.0,LD,3,10,2026-07-22
MEGHALAYA,WEST KHASI HILLS,6.5,38.4,-83.0,LD,447.4,1377.5,-68.0,LD,3,11,2026-07-22
MIZORAM,AIZAWL,19.6,13.3,47.0,E,602.6,686.1,-12.0,N,3,1,2026-07-22
MIZORAM,CHAMPHAI,13.2,11.3,17.0,N,477.5,578.1,-17.0,N,3,2,2026-07-22
MIZORAM,KOLASIB,4.6,11.7,-60.0,LD,514.3,730.3,-30.0,D,4,3,2026-07-22
MIZORAM,LAWNGTLAI,15.2,15.1,1.0,N,715.0,801.9,-11.0,N,4,4,2026-07-22
MIZORAM,LUNGLEI,8.6,14.9,-43.0,D,659.3,797.2,-17.0,N,4,5,2026-07-22
MIZORAM,MAMIT,3.3,11.3,-71.0,LD,396.4,673.7,-41.0,D,4,6,2026-07-22
MIZORAM,SAIHA,5.6,15.4,-63.0,LD,532.8,827.5,-36.0,D,4,7,2026-07-22
MIZORAM,SERCHHIP,24.3,13.5,80.0,LE,752.5,711.1,6.0,N,4,8,2026-07-22
MANIPUR,BISHNUPUR,10.4,9.5,9.0,N,174.9,551.2,-68.0,LD,4,1,2026-07-22
MANIPUR,CHANDEL,0.0,9.5,-100.0,NR,237.4,551.2,-57.0,D,4,2,2026-07-22
MANIPUR,CHURACHANDPUR,46.0,9.5,384.0,LE,88.5,551.2,-84.0,LD,4,3,2026-07-22
MANIPUR,IMPHAL EAST,4.9,5.4,-10.0,N,254.8,373.5,-32.0,D,4,4,2026-07-22
MANIPUR,IMPHAL WEST,16.8,18.2,-8.0,N,175.4,816.8,-79.0,LD,4,5,2026-07-22
MANIPUR,SENAPATI,0.8,3.3,-76.0,LD,216.9,348.1,-38.0,D,4,6,2026-07-22
MANIPUR,TAMENGLONG,7.5,15.7,-52.0,D,1097.1,2295.4,-52.0,D,4,7,2026-07-22
MANIPUR,THOUBAL,0.0,5.4,-100.0,NR,129.5,373.5,-65.0,LD,4,8,2026-07-22
MANIPUR,UKHRUL,0.6,8.5,-93.0,LD,268.1,535.8,-50.0,D,4,9,2026-07-22
TRIPURA,DHALAI,2.4,12.9,-82.0,LD,696.2,653.8,6.0,N,4,1,2026-07-22
TRIPURA,GOMATI,4.0,13.9,-72.0,LD,566.6,716.6,-21.0,D,4,2,2026-07-22
TRIPURA,KHOWAI,5.6,10.8,-48.0,D,732.3,666.1,10.0,N,4,3,2026-07-22
TRIPURA,NORTH TRIPURA,3.8,11.9,-68.0,LD,616.6,654.9,-6.0,N,4,4,2026-07-22
TRIPURA,SIPAHIJALA,4.0,19.9,-80.0,LD,578.8,674.3,-14.0,N,4,5,2026-07-22
TRIPURA,SOUTH TRIPURA,9.0,21.0,-57.0,D,630.2,895.2,-30.0,D,4,6,2026-07-22
TRIPURA,UNAKOTI,1.3,14.2,-91.0,LD,799.1,704.1,13.0,N,4,7,2026-07-22
TRIPURA,WEST TRIPURA,8.7,19.2,-55.0,D,687.6,615.9,12.0,N,4,8,2026-07-22
NAGALAND,DIMAPUR,12.8,3.5,267.0,LE,229.4,355.0,-35.0,D,5,1,2026-07-22
NAGALAND,KIPHIRE,0.0,6.0,-100.0,NR,318.0,273.9,16.0,N,5,2,2026-07-22
NAGALAND,KOHIMA,13.8,8.6,60.0,LE,442.2,527.3,-16.0,N,5,3,2026-07-22
NAGALAND,LONGLENG,13.8,,,,0.2,505.5,-99.0,LD,5,4,2026-07-22
NAGALAND,MOKOKCHUNG,8.9,17.2,-48.0,D,711.8,639.1,11.0,N,5,5,2026-07-22
NAGALAND,MON,0.4,9.6,-96.0,LD,246.8,543.2,-55.0,D,5,6,2026-07-22
NAGALAND,PEREN,7.9,6.9,14.0,N,318.6,395.5,-19.0,N,5,7,2026-07-22
NAGALAND,PHEK,0.0,10.5,-100.0,NR,250.2,379.2,-34.0,D,5,8,2026-07-22
NAGALAND,TUENSANG,13.8,,,,58.4,505.5,-88.0,LD,5,9,2026-07-22
NAGALAND,WOKHA,12.0,16.7,-28.0,D,412.4,566.5,-27.0,D,5,10,2026-07-22
NAGALAND,ZUNHEBOTO,0.8,9.2,-91.0,LD,79.4,502.4,-84.0,LD,5,11,2026-07-22
WEST BENGAL,ALIPURDUAR,15.1,28.7,-47.0,D,1649.4,1518.8,9.0,N,5,1,2026-07-22
WEST BENGAL,COOCH BEHAR,13.8,24.5,-44.0,D,1243.6,1153.7,8.0,N,5,2,2026-07-22
WEST BENGAL,DARJEELING,6.1,27.3,-78.0,LD,1297.7,1308.3,-1.0,N,5,3,2026-07-22
WEST BENGAL,JALPAIGURI,4.1,31.9,-87.0,LD,1312.6,1426.4,-8.0,N,5,4,2026-07-22
WEST BENGAL,KALIMPONG,26.8,36.0,-26.0,D,1036.4,1121.3,-8.0,N,5,5,2026-07-22
WEST BENGAL,MALDA,13.2,13.1,1.0,N,479.1,491.6,-3.0,N,5,6,2026-07-22
WEST BENGAL,NORTH DINAJPUR,2.4,11.2,-79.0,LD,545.0,682.4,-20.0,D,5,7,2026-07-22
WEST BENGAL,SOUTH DINAJPUR,16.6,13.5,23.0,E,542.1,494.7,10.0,N,5,8,2026-07-22
SIKKIM,GANGTOK,12.9,18.3,-30.0,D,1034.7,1038.8,0.0,N,5,1,2026-07-22
SIKKIM,GYALSHING,35.8,20.8,72.0,LE,1162.0,797.8,46.0,E,5,2,2026-07-22
SIKKIM,MANGAN,2.2,15.2,-85.0,LD,716.8,721.8,-1.0,N,5,3,2026-07-22
SIKKIM,NAMCHI,48.1,23.5,105.0,LE,1020.1,771.4,32.0,E,5,4,2026-07-22
