State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category
ASSAM,CHARAIDEO,27.063,95.046,30.0,9.2,226.0,LE,679.5,452.3,50.0,E
ASSAM,CHIRANG,26.66,90.599,0.0,19.1,-100.0,NR,798.0,1275.8,-37.0,D
ASSAM,DARRANG,26.448,92.029,52.6,6.5,709.0,LE,374.8,711.4,-47.0,D
ASSAM,DHEMAJI,27.59,94.775,0.0,23.9,-100.0,NR,1269.7,1030.1,23.0,E
ASSAM,DHUBRI,26.01,90.033,8.3,12.8,-35.0,D,806.4,1154.6,-30.0,D
ASSAM,DIBRUGARH,27.367,95.053,14.1,14.4,-2.0,N,675.6,716.4,-6.0,N
ASSAM,DIMA HASAO,25.378,93.031,11.6,4.9,137.0,LE,202.4,552.3,-63.0,LD
ASSAM,GOALPARA,26.052,90.605,1.2,16.5,-93.0,LD,466.6,1063.7,-56.0,D
ASSAM,GOLAGHAT,26.475,93.835,14.4,8.0,81.0,LE,399.9,490.3,-18.0,N
ASSAM,HAILAKANDI,24.498,92.588,4.5,16.0,-72.0,LD,611.9,734.2,-17.0,N
ASSAM,HOJAI,25.978,92.98,12.8,4.7,171.0,LE,201.5,338.9,-41.0,D
ASSAM,JORHAT,26.711,94.264,4.3,9.9,-56.0,D,434.4,588.1,-26.0,D
ASSAM,KAMRUP METROPOLITAN,26.13,91.888,20.5,5.5,272.0,LE,395.8,545.9,-28.0,D
ASSAM,KAMRUP RURAL,26.1,91.415,17.6,9.5,85.0,LE,218.8,683.6,-68.0,LD
ASSAM,KARBI ANGLONG,26.157,93.405,41.9,5.6,648.0,LE,224.5,372.1,-40.0,D
ASSAM,KOKRAJHAR,26.494,90.117,0.4,27.3,-98.0,LD,1443.7,1414.8,2.0,N
ASSAM,LAKHIMPUR,27.174,94.141,9.8,15.6,-37.0,D,1118.0,988.7,13.0,N
ASSAM,MAJULI,26.999,94.292,0.0,9.9,-100.0,NR,545.0,588.1,-7.0,N
ASSAM,MORIGAON,26.282,92.284,12.2,7.9,54.0,E,284.3,527.6,-46.0,D
ASSAM,NAGAON,26.362,92.754,3.0,9.7,-69.0,LD,179.2,484.1,-63.0,LD
ASSAM,NALBARI,26.371,91.382,10.1,13.6,-26.0,D,348.8,854.6,-59.0,D
ASSAM,SIBSAGAR,26.97,94.66,0.2,9.3,-98.0,LD,392.3,565.6,-31.0,D
ASSAM,SONITPUR,26.757,92.699,34.1,6.0,469.0,LE,445.0,579.1,-23.0,D
ASSAM,SOUTH SALMARA,25.918,89.962,12.8,,,,1154.6,,,
ASSAM,SRIBHUMI,24.868637,92.360548,16.5,22.9,-28.0,D,955.2,1097.1,-13.0,N
ASSAM,TAMULPUR,26.69,91.1,23.6,13.1,80.0,LE,708.0,767.3,-8.0,N
ASSAM,TINSUKIA,27.58,95.62,7.7,14.4,-47.0,D,730.2,697.9,5.0,N
ASSAM,UDALGURI,26.73,92.032,28.5,15.6,83.0,LE,307.3,787.0,-61.0,LD
ASSAM,WEST KARBI ANGLONG,25.85,92.533,3.8,5.9,-36.0,D,207.8,323.3,-36.0,D
BIHAR,ARARIA,26.198,87.362,1.9,14.5,-87.0,LD,480.5,625.4,-23.0,D
BIHAR,ARWAL,25.163,84.677,4.2,3.4,24.0,E,120.4,276.6,-56.0,D
BIHAR,AURANGABAD,24.791,84.408,4.9,7.7,-36.0,D,188.6,338.9,-44.0,D
BIHAR,BANKA,24.854,86.838,5.4,10.0,-46.0,D,159.3,359.7,-56.0,D
BIHAR,BEGUSARAI,25.497,86.13,16.0,7.5,113.0,LE,298.9,404.3,-26.0,D
BIHAR,BHABUA,24.992,83.606,5.0,5.6,-11.0,N,149.1,316.3,-53.0,D
BIHAR,BHAGALPUR,25.27,87.083,13.7,12.6,8.0,N,187.0,405.5,-54.0,D
BIHAR,BHOJPUR,25.474,84.54,2.5,4.6,-45.0,D,154.5,343.9,-55.0,D
BIHAR,BUXAR,25.487,84.094,0.8,5.1,-85.0,LD,206.1,312.9,-34.0,D
BIHAR,DARBHANGA,26.085,86.055,3.0,7.1,-58.0,D,208.9,374.3,-44.0,D
