State,District,Lat,Lon
TAMILNADU,RAMANATHAPURAM,9.449,78.691
WEST BENGAL,MALDAH,25.142,88.089
TAMILNADU,SALEM,11.678,78.223
TAMILNADU,SIVAGANGA,9.919,78.591
TAMILNADU,TENKASI,9.087,77.46
TAMILNADU,THANJAVUR,10.671,79.241
TAMILNADU,THENI,9.892,77.438
TAMILNADU,THIRUCHIRAPALLI,10.891,78.57
TAMILNADU,THIRUVALLUR,13.244,79.933
TAMILNADU,THOOTHUKUDI,8.891,78.004
TAMILNADU,TIRUNELVELI,8.575,77.604
TAMILNADU,TIRUPATTUR,12.585,78.644
TAMILNADU,TIRUPPUR,10.839,77.407
TAMILNADU,TIRUVANNAMALAI,12.432,79.166
TAMILNADU,TIRUVARUR,10.703,79.529
TAMILNADU,VELLORE,12.901,78.954
TAMILNADU,VILLUPURAM,12.123,79.527
TAMILNADU,VIRUDHUNAGAR,9.492,77.906
TELANGANA,ADILABAD,19.52,78.566
TELANGANA,ANANTAPURAMU,14.6819,77.6006
TELANGANA,ANNAMAYYA DISTRICT,14.47,78.82
TELANGANA,B. KOTHAGUDEM,17.688,80.71
TELANGANA,CHITTOOR,13.465,79.006
TELANGANA,HANUMAKONDA,18.005,79.77
TELANGANA,HYDERABAD,17.395,78.47
TELANGANA,J. BHUPALPALLY,18.502,79.925
TELANGANA,JAGTIAL,18.833,78.875
TELANGANA,JANGAON,17.735,79.274
TELANGANA,JOGULAMBA GADWAL,16.072,77.781
TELANGANA,KAMAREDDY,18.325,78.062
TELANGANA,KARIMNAGAR,18.379,79.235
TELANGANA,KHAMMAM,17.2,80.361
TELANGANA,KUMARAM BHEEM,19.359,79.417
TELANGANA,KURNOOL,15.532,77.999
TELANGANA,M. MALKAJGIRI,17.544,78.558
TELANGANA,MAHABUBABAD,17.668,79.984
TELANGANA,MAHABUBNAGAR,16.759,77.99
TELANGANA,MANCHERIAL,18.996,79.514
TELANGANA,MEDAK,17.955,78.26
TELANGANA,MULUGU,18.289,80.337
TELANGANA,NAGARKURNOOL,16.388,78.588
TELANGANA,NALGONDA,16.877,79.193
TELANGANA,NANDYAL,15.478,78.483
TELANGANA,NARAYANPET,16.643,77.58
TELANGANA,NIRMAL,19.113,78.315
TELANGANA,NIZAMABAD,18.702,78.211
TELANGANA,PEDDAPALLE,18.621,79.452
TELANGANA,RAJANNA SIRCILLA,18.416,78.761
TELANGANA,RANGAREDDY,17.131,78.413
TELANGANA,SANGAREDDY,17.784,77.875
TELANGANA,SIDDIPET,18.01,78.849
TELANGANA,SRI SATHYASAI DISTRICT,14.158081,77.826801
TELANGANA,SURYAPET,17.081,79.754
TELANGANA,TIRUPATI,13.6288,79.4192
TELANGANA,VIKARABAD,17.254,77.746
TELANGANA,WANAPARTHY,16.294,78.038
TELANGANA,WARANGAL,17.978,79.594
TELANGANA,Y. BHUVANAGIRI,17.452,78.981
TELANGANA,YSR DISTRICT,14.467,78.824
TRIPURA,DHALAI,23.839,91.92
TRIPURA,GOMATI,23.53,91.619
TRIPURA,KHOWAI,23.947,91.655
TRIPURA,NORTH TRIPURA,24.095,92.209
TRIPURA,SIPAHIJALA,23.587,91.33
TRIPURA,SOUTH TRIPURA,23.192,91.588
TRIPURA,UNAKOTI,24.193,92.04
TRIPURA,WEST TRIPURA,23.888,91.397
UTTAR PRADESH,AGRA,27.036,78.076
UTTAR PRADESH,ALIGARH,27.926,78.065
UTTAR PRADESH,AMBEDKAR NAGAR,26.419,82.666
UTTAR PRADESH,AMETHI,26.288,81.64
UTTAR PRADESH,AMROHA,28.813,78.332
MEGHALAYA,EAST GARO HILLS,25.624,90.631
UTTAR PRADESH,GHAZIPUR,25.624,83.556
UTTAR PRADESH,AZAMGARH,26.046,83.067
UTTAR PRADESH,BADAUN,28.078,79.042
UTTAR PRADESH,AURAIYA,26.658,79.479
UTTAR PRADESH,BAHRAICH,27.698,81.493
UTTAR PRADESH,BALLIA,25.876,84.103
UTTAR PRADESH,AYODHYA,26.658,81.997
UTTAR PRADESH,BANDA,25.471,80.557
UTTAR PRADESH,BARABANKI,26.939,81.332
UTTAR PRADESH,BAREILLY,28.458,79.431
UTTAR PRADESH,BASTI,26.82,82.626
UTTAR PRADESH,BHADOHI,25.348,82.464
UTTAR PRADESH,BIJNOR,29.386,78.389
UTTAR PRADESH,BULANDSHAHAR,28.363,78.015
RAJASTHAN,DHOLPUR,26.681,77.702
UTTAR PRADESH,CHITRAKOOT,25.206,81.078
UTTAR PRADESH,DEORIA,26.425,83.835
UTTAR PRADESH,ETAH,27.516,78.717
UTTAR PRADESH,ETAWAH,26.764,79.095
UTTAR PRADESH,FARRUKHABAD,27.431,79.459
UTTAR PRADESH,FATEHPUR,25.875,80.808
UTTAR PRADESH,FIROZABAD,27.187,78.526
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,28.394,77.556
UTTAR PRADESH,GHAZIABAD,28.768,77.476
WEST BENGAL,JALPAIGURI,26.681,88.761
UTTAR PRADESH,GONDA,27.083,82.025
UTTAR PRADESH,GORAKHPUR,26.656,83.359
UTTAR PRADESH,HAMIRPUR,25.751,79.865
UTTAR PRADESH,HAPUR,28.722,77.893
UTTAR PRADESH,HARDOI,27.33,80.162
UTTAR PRADESH,HATHRAS,27.582,78.164
UTTAR PRADESH,JALAUN,26.091,79.386
UTTAR PRADESH,JAUNPUR,25.746,82.575
UTTAR PRADESH,JHANSI,25.508,78.951
UTTAR PRADESH,KANNAUJ,27.014,79.689
UTTAR PRADESH,KANPUR CITY,26.391,80.208
UTTAR PRADESH,KANPUR DEHAT,26.44,79.853
UTTAR PRADESH,KASGANJ,27.773,78.846
UTTAR PRADESH,KAUSHAMBI,25.498,81.415
UTTAR PRADESH,KHERI,28.121,80.667
UTTAR PRADESH,KUSHI NAGAR,26.863,83.934
UTTAR PRADESH,LALITPUR,24.653,78.562
UTTAR PRADESH,LUCKNOW,26.842,80.906
UTTAR PRADESH,MAHARAJGANJ,27.201,83.531
UTTAR PRADESH,MAHOBA,25.363,79.726
UTTAR PRADESH,MAINPURI,27.182,79.052
UTTAR PRADESH,MATHURA,27.597,77.626
UTTAR PRADESH,MAU,26.047,83.562
UTTAR PRADESH,MEERUT,29.036,77.783
UTTAR PRADESH,MIRZAPUR,24.987,82.607
UTTAR PRADESH,MORADABAD,28.899,78.788
UTTAR PRADESH,MUZAFFARNAGAR,29.416,77.725
UTTAR PRADESH,PILIBHIT,28.531,79.995
UTTAR PRADESH,PRATAPGARH,25.873,81.829
UTTAR PRADESH,PRAYAGRAJ,25.304,81.96
UTTAR PRADESH,RAE BAREILLY,26.226,81.135
UTTAR PRADESH,RAMPUR,28.81,79.115
UTTAR PRADESH,SAHARANPUR,29.951,77.547
UTTAR PRADESH,SAMBHAL,28.455,78.552
UTTAR PRADESH,SANT KABIR NAGAR,26.776,83.027
UTTAR PRADESH,SHAHJAHANPUR,27.951,79.822
UTTAR PRADESH,SHAMLI,29.5,77.282
UTTAR PRADESH,SHRAWASTI,27.718,81.903
UTTAR PRADESH,SIDDHARTH NAGAR,27.27,82.873
UTTAR PRADESH,SITAPUR,27.517,80.852
UTTAR PRADESH,SONBHADRA,24.408,83.051
UTTAR PRADESH,SULTANPUR,26.243,82.225
UTTAR PRADESH,UNNAO,26.609,80.561
UTTAR PRADESH,VARANASI,25.388,82.914
UTTARAKHAND,ALMORA,29.691,79.504
UTTARAKHAND,BAGESHWAR,29.996,79.859
UTTARAKHAND,CHAMOLI,30.494,79.577
UTTARAKHAND,CHAMPAWAT,29.281,80.069
UTTARAKHAND,DEHRADUN,30.472,77.968
UTTARAKHAND,GARHWAL PAURI,29.88,78.764
UTTARAKHAND,GARHWAL TEHRI,30.437,78.536
UTTARAKHAND,HARDWAR,29.881,77.996
UTTARAKHAND,NAINITAL,29.317,79.463
UTTARAKHAND,PITHORAGARH,30.113,80.345
UTTARAKHAND,RUDRAPRAYAG,30.507,79.052
UTTARAKHAND,UDHAM SINGH NAGAR,29.042,79.471
UTTARAKHAND,UTTARKASHI,30.973,78.607
WEST BENGAL,ALIPURDUAR,26.631,89.457
WEST BENGAL,BANKURA,23.139,87.136
WEST BENGAL,BIRBHUM,23.955,87.663
WEST BENGAL,COOCH BEHAR,26.292,89.346
WEST BENGAL,DARJILING,26.853,88.263
WEST BENGAL,EAST MIDNAPORE,22.032,87.772
WEST BENGAL,HOOGHLY,22.884,88.072
WEST BENGAL,HOWRAH,22.524,88.064
HARYANA,SONEPAT,29.057,76.875
WEST BENGAL,JHARGRAM,22.363,86.956
WEST BENGAL,KALIMPONG,27.033,88.629
WEST BENGAL,KOLKATA,22.559,88.344
UTTAR PRADESH,BAGHPAT,29.057,77.308
WEST BENGAL,MURSHIDABAD,24.171,88.229
WEST BENGAL,NADIA,23.479,88.517
WEST BENGAL,NORTH 24 PARGANAS,22.727,88.731
WEST BENGAL,NORTH DINAJPUR,25.889,87.998
WEST BENGAL,PASCHIM BARDHAMAN,23.661,87.16
WEST BENGAL,PURBA BARDHAMAN,23.36,87.947
WEST BENGAL,PURULIA,23.277,86.421
WEST BENGAL,SOUTH 24 PARGANAS,22.063,88.535
WEST BENGAL,SOUTH DINAJPUR,25.367,88.575
WEST BENGAL,WEST MIDNAPORE,22.439,87.417
