State,District,Lat,Lon
CHHATTISGARH,KANKER,20.138,81.123
CHHATTISGARH,KHAIRAGARH CHH GANDAI,21.417937,80.981938
CHHATTISGARH,KONDAGAON,19.746,81.665
CHHATTISGARH,KORBA,22.534,82.609
CHHATTISGARH,GAURELA PENDRA MARWAHI,22.83,81.95
CHHATTISGARH,MAHASAMUND,21.208,82.608
CHHATTISGARH,MANENDRAGARH BHARATPUR,23.596607,82.058294
CHHATTISGARH,MOHALA MANPUR CHOWKI,20.85,80.75
CHHATTISGARH,MUNGELI,22.241,81.73
CHHATTISGARH,NARAYANPUR,19.57,81.086
CHHATTISGARH,RAIGARH,22.085,83.303
CHHATTISGARH,RAIPUR,21.286,81.82
CHHATTISGARH,RAJNANDGAON,21.04,80.82
CHHATTISGARH,SAKTI,22.03,82.96
CHHATTISGARH,SARANGARH BILAIGARH,21.59,83.08
CHHATTISGARH,SUKMA,18.256,81.347
CHHATTISGARH,SURAJPUR,23.402,82.883
CHHATTISGARH,SURGUJA,22.929,83.227
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),DADARA & NAGAR HAVELI,20.194,73.071
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),DAMAN,20.414,72.859
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),DIU,20.72,70.938
DELHI,CENTRAL DELHI,28.694,77.216
DELHI,EAST DELHI,28.62,77.296
DELHI,NEW DELHI,28.577,77.147
DELHI,NORTH DELHI,28.794,77.108
DELHI,NORTH EAST DELHI,28.719,77.257
DELHI,NORTH WEST DELHI,28.727,77.042
DELHI,SOUTH DELHI,28.483,77.191
DELHI,SOUTH EAST DELHI,28.543,77.274
DELHI,SOUTH WEST DELHI,28.576,76.967
DELHI,WEST DELHI,28.656,77.065
GOA,NORTH GOA,15.581,73.973
GOA,SOUTH GOA,15.222,74.107
GUJARAT,AHMEDABAD,22.785,72.246
GUJARAT,AMRELI,21.425,71.249
GUJARAT,ANAND,22.46,72.787
GUJARAT,ARAVALLI,23.468,73.328
GUJARAT,BANASKANTHA,24.287,72.026
GUJARAT,BHARUCH,21.787,72.933
GUJARAT,BHAVNAGAR,21.585,71.913
GUJARAT,BOTAD,22.117,71.699
GUJARAT,CHHOTA UDEPUR,22.219,73.873
GUJARAT,DAHOD,22.862,74.113
GUJARAT,DANGS,20.804,73.701
GUJARAT,DEVBHOOMI DWARKA,22.124,69.464
GUJARAT,GANDHINAGAR,23.255,72.695
GUJARAT,GIR SOMNATH,20.966,70.776
GUJARAT,JAMNAGAR,22.333,70.207
GUJARAT,JUNAGADH,21.372,70.412
GUJARAT,KHEDA,22.837,72.952
GUJARAT,KUTCH,23.646,69.908
GUJARAT,MAHISAGAR,23.188,73.647
GUJARAT,MEHSANA,23.611,72.466
GUJARAT,MORBI,22.83,70.917
GUJARAT,NARMADA,21.737,73.645
GUJARAT,NAVSARI,20.816,73.092
GUJARAT,PANCHMAHAL,22.72,73.626
GUJARAT,PATAN,23.77,71.758
GUJARAT,PORBANDAR,21.655,69.777
GUJARAT,RAJKOT,22.021,70.744
GUJARAT,SABARKANTHA,23.807,73.033
GUJARAT,SURAT,21.267,73.075
GUJARAT,SURENDRANAGAR,22.764,71.593
GUJARAT,TAPI,21.191,73.627
GUJARAT,VADODARA,22.248,73.242
GUJARAT,VALSAD,20.418,73.119
HARYANA,AMBALA,30.326,76.936
HARYANA,BHIWANI,28.778,75.89
HARYANA,CHARKHI DADRI,28.579,76.161
HARYANA,FARIDABAD,28.348,77.347
HARYANA,FATEHABAD,29.569,75.577
HARYANA,GURGAON,28.369,76.94
HARYANA,HISAR,29.212,75.822
HARYANA,JHAJJAR,28.605,76.652
HARYANA,JIND,29.435,76.306
HARYANA,KAITHAL,29.812,76.416
HARYANA,KARNAL,29.688,76.897
HARYANA,KURUKSHETRA,30.038,76.783
HARYANA,MAHENDRAGARH,28.171,76.138
HARYANA,NUH,27.985,77.049
HARYANA,PALWAL,28.06,77.332
HARYANA,PANCHKULA,30.681,76.976
HARYANA,PANIPAT,29.334,76.927
HARYANA,REWARI,28.243,76.537
HARYANA,ROHTAK,28.911,76.53
HARYANA,SIRSA,29.616,74.901
CHHATTISGARH,KORIYA,23.47,82.235
HARYANA,YAMUNA NAGAR,30.234,77.301
HIMACHAL PRADESH,BILASPUR,31.371,76.67
HIMACHAL PRADESH,CHAMBA,32.675,76.351
HIMACHAL PRADESH,HAMIRPUR,31.667,76.525
HIMACHAL PRADESH,KANGRA,32.108,76.316
HIMACHAL PRADESH,KINNAUR,31.599,78.405
HIMACHAL PRADESH,KULLU,31.903,77.399
HIMACHAL PRADESH,LAHAUL & SPITI,32.48,77.618
HIMACHAL PRADESH,MANDI,31.637,76.991
HIMACHAL PRADESH,SHIMLA,31.197,77.632
HIMACHAL PRADESH,SIRMAUR,30.667,77.431
HIMACHAL PRADESH,SOLAN,31.045,76.91
HIMACHAL PRADESH,UNA,31.579,76.21
JAMMU & KASHMIR,ANANTNAG,33.827,75.321
JAMMU & KASHMIR,BADGAM,33.925,74.64
JAMMU & KASHMIR,BANDIPORA,34.491,74.875
JAMMU & KASHMIR,BARAMULA,34.165,74.309
JAMMU & KASHMIR,DODA,33.09,75.707
JAMMU & KASHMIR,GANDERBAL,34.282,75.025
JAMMU & KASHMIR,JAMMU,32.798,74.749
JAMMU & KASHMIR,KATHUA,32.577,75.589
JAMMU & KASHMIR,KISTWAR,33.553,75.966
